Date,Open,High,Low,Close,Volume
2025-04-10,201.84065160334464,204.65418934456682,201.3592917804549,201.9802849180674,47658466
2025-04-11,201.12732464633447,203.91035836237387,197.08771354863052,199.55165201524375,55425600
2025-04-14,195.3237187972766,197.97427338649166,191.50193654686421,195.77962076995294,32750821
2025-04-15,190.5284128599385,193.71406036005715,187.75810680160075,191.49818948894904,35876962
2025-04-16,198.736167977542,201.01755614125997,195.33306132346152,198.96077111175984,44556172
2025-04-17,197.48494655765992,200.98744583510418,194.91701159418795,198.62804457567267,47083062
2025-04-18,195.84659774956145,197.79184679933715,191.08269480277136,194.04943011893297,58225449
2025-04-21,186.16627649985696,186.20381681420199,182.8773144120814,185.97206253210246,51968612
2025-04-22,189.32430883759696,191.10807677031588,186.98581731334212,189.16222680922516,35214780
2025-04-23,183.7073053737201,186.9459565839878,182.18585827025163,184.13139567270903,32369598
2025-04-24,184.644756745133,186.2248132008622,183.36302327548063,185.00095970233994,60309995
2025-04-25,188.4504995121594,190.84444840039538,186.87812831262838,189.2445863774744,59755451
2025-04-28,185.40565848983206,186.40715205837068,182.44268452079586,185.57792953227383,58125258
2025-04-29,192.13148440417186,195.08709180081232,190.55757789166228,192.20068637814143,43548802
2025-04-30,194.8101904904036,196.72339600779,192.9026743937598,193.32349744923354,23802548
2025-05-01,197.2094671518542,198.88672642207342,195.24287634966254,197.12367196323046,30124310
2025-05-02,195.1868749705226,198.58107132088105,192.38569175382042,194.83897772868556,41915063
2025-05-05,191.8058254127799,194.03916555662593,188.51686799196816,190.93192795683677,55132674
2025-05-06,191.45612017798098,192.69861957219726,188.31583839213448,190.53332442680298,46078918
2025-05-07,181.48351423834984,183.5352355217616,179.4076878651825,181.215206752191,47654128
2025-05-08,172.25148219614724,174.044887440164,169.83800013040727,172.61452966888,48387142
2025-05-09,175.48331718170408,177.3913278220314,172.32923809807968,173.8438084788761,49255540
2025-05-12,162.94599005394193,164.64634837430114,163.3234072772099,162.9675945664649,48076390
2025-05-13,163.5986310255682,164.30716366263277,162.89746595510974,163.62702994447315,57519330
2025-05-14,165.9339833282913,169.52801264025032,163.11156984059778,166.6919210373262,55868570
2025-05-15,175.936703598236,178.07988080879122,174.26499822566655,176.81239911853808,44965243
2025-05-16,167.76053257581881,168.54707471771718,166.42312551918624,167.7030414787798,40805757
